,rid
0,6287
1,7050
2,6441
3,6476
4,6648
5,4434
6,6367
7,7082
8,6141
9,685
10,6726
11,4579
12,2308
13,6145
14,6825
15,6716
16,5200
17,4733
18,6186
19,5091
20,6940
21,419
22,6699
23,6996
24,4611
25,618
26,5097
27,6493
28,6227
29,6212
30,5266
31,4449
32,4032
33,6894
34,4332
35,473
36,6268
37,5214
38,5230
39,4791
40,6993
41,5141
42,5071
43,6989
44,6282
45,6739
46,4548
47,6100
48,6966
49,6159
50,5262
51,200
52,1016
53,4424
54,4782
55,4531
56,6364
57,272
58,6780
59,731
60,6977
61,605
62,6163
63,4744
64,4900
65,6918
66,6912
67,5047
68,2187
69,6083
70,6651
71,4715
72,6969
73,6657
74,6189
75,7011
76,4271
77,6257
78,6910
79,6999
80,6442
81,7006
82,6610
83,4491
84,6644
85,6433
86,416
87,4278
88,6357
89,6393
90,4399
91,4028
92,6400
93,6629
94,4012
95,6362
96,7121
97,6896
98,56
99,6310
100,7008
101,6269
102,4121
103,4170
104,4872
105,7020
106,4947
107,6175
108,6375
109,2380
110,2068
111,5093
112,6406
113,7100
114,6192
115,6226
116,4308
117,6294
118,4150
119,6293
120,6770
121,2392
122,6952
123,6869
124,4043
125,4301
126,6522
127,6405
128,7071
129,6271
130,4835
131,6168
132,5185
133,5240
134,4546
135,4620
136,6723
137,2389
138,2374
139,6138
140,679
141,4654
142,6924
143,6179
144,6204
145,4395
146,7105
147,4225
148,5157
149,6250
150,6992
151,4515
152,4696
153,6472
154,1122
155,4576
156,4290
157,6813
158,4224
159,4799
160,6399
161,6312
162,5096
163,4380
164,4713
165,6488
166,6053
167,296
168,4257
169,2184
170,5253
171,6624
172,6470
173,4469
174,6958
175,6211
176,4680
177,934
178,6959
179,6032
180,6273
181,6572
182,6976
183,4442
184,6691
185,6606
186,5106
187,6598
188,4387
189,4229
190,4974
191,6356
192,4874
193,2379
194,6721
195,6717
196,6252
197,4414
198,5265
199,6088
200,6184
201,6315
202,4637
203,6307
204,6798
205,6203
206,6243
207,1261
208,6034
209,4114
210,4400
211,6427
212,4661
213,6887
214,6658
215,7092
216,4721
217,6705
218,6550
219,4917
220,6421
221,6385
222,6480
223,6119
224,4557
225,4234
226,7061
227,2315
228,6939
229,802
230,6463
231,6563
232,4127
233,6429
234,6712
235,5289
236,4552
237,6502
238,4506
239,6229
240,4037
241,6701
242,7070
243,4042
244,6954
245,5026
246,5070
247,4262
248,1186
249,5170
250,4765
251,6513
252,6234
253,2239
254,4510
255,5282
256,4346
257,6674
258,4706
259,6309
260,5153
261,610
262,6627
263,602
264,5171
265,6255
266,6672
267,5242
268,6144
269,2263
270,6512
271,6641
272,2396
273,2394
274,7086
275,6264
276,259
277,555
278,6916
279,2018
280,178
281,6354
282,2238
283,6013
284,2233
285,4868
286,6746
287,6278
288,6260
289,4363
290,377
291,4856
292,6683
293,6046
294,6468
295,6935
296,5004
297,6722
298,4254
299,6957
300,6788
301,6148
302,6503
303,734
304,4270
305,6462
306,6195
307,5102
308,1169
309,6709
310,5083
311,4410
312,4357
313,5272
314,4210
315,7083
316,1300
317,6009
318,6816
319,6216
320,5213
321,7060
322,5177
323,1098
324,6986
325,6528
326,6173
327,4503
328,1268
329,4464
330,2121
331,5296
332,6303
333,6348
334,4192
335,6209
336,6643
337,6861
338,6582
339,6948
340,4427
341,4644
342,6347
343,4448
344,6504
345,4213
346,6103
347,680
348,7043
349,5019
350,5194
351,4513
352,4276
353,4585
354,4212
355,6618
356,6640
357,4919
358,6376
359,4084
360,4630
361,4985
362,6635
363,2022
364,6402
365,2180
366,7055
367,6213
368,4285
369,4302
370,6024
371,6652
372,6030
373,6351
374,6497
375,6369
376,6714
377,6334
378,6890
379,498
380,6917
381,7048
382,6437
383,4952
384,6258
385,6801
386,4951
387,6757
388,2304
389,6394
390,6314
391,4795
392,6396
393,4928
394,5219
395,4896
396,5158
397,6941
398,6279
399,6670
400,5100
401,5118
402,6847
403,7059
404,7123
405,4198
406,7079
407,5140
408,4061
409,7001
410,729
411,1286
412,7039
413,2146
414,6525
415,4578
416,4419
417,6566
418,5078
419,4889
420,6842
421,4199
422,4171
423,6844
424,6547
425,4071
426,6323
427,4785
428,6597
429,4367
430,6593
431,4401
432,6005
433,6942
434,6404
435,4143
436,4649
437,4177
438,5208
439,1418
440,21
441,4219
442,4164
443,5130
444,7010
445,751
446,7045
447,1155
448,4030
449,919
450,4251
451,6418
452,5169
453,6702
454,5012
455,6564
456,4659
457,7066
458,6943
459,5285
460,4026
461,6007
462,5178
463,6341
464,6197
465,4275
466,6352
467,6063
468,6330
469,6529
470,6748
471,4430
472,6200
473,2043
474,4590
475,5154
476,5195
477,6147
478,5079
479,6831
480,4148
481,1352
482,6084
483,5234
484,6951
485,4876
486,6358
487,6925
488,150
489,4252
490,6187
491,6289
492,6185
493,7035
494,6133
495,6275
496,6316
497,4119
498,6682
499,4200
500,4029
501,6259
502,6995
503,6417
504,5137
505,4612
506,7052
507,6775
508,4477
509,4128
510,4335
511,6349
512,4428
513,4604
514,6292
515,454
516,6573
517,6449
518,6232
519,7076
520,6447
521,6045
522,4746
523,295
524,6655
525,74
526,6849
527,6734
528,4512
529,5243
530,4474
531,4293
532,4521
533,6424
534,5040
535,6456
536,6700
537,4203
538,4237
539,4384
540,4350
541,6069
542,5222
543,5132
544,106
545,2073
546,6695
547,4179
548,6001
549,6713
550,156
551,2182
552,6002
553,6551
554,4354
555,6719
556,4216
557,6681
558,6889
559,6317
560,205
561,6241
562,4944
563,626
564,6927
565,2234
566,4149
567,4595
568,6231
569,298
570,4597
571,6414
572,59
573,6733
574,6888
575,6533
576,6306
577,6283
578,6466
579,2155
580,6025
581,4288
582,5109
583,4086
584,2324
585,6689
586,6517
587,6465
588,908
589,6115
590,6308
591,4496
592,4674
593,4476
594,7080
595,6750
596,4268
597,6965
598,7024
599,2010
600,6961
601,7117
602,6542
603,6602
604,4545
605,6266
606,5198
607,7049
608,6914
609,4580
610,413
611,6291
612,4987
613,4072
614,6901
615,6412
616,6039
617,5121
618,2245
619,5292
620,1190
621,6207
622,896
623,4473
624,7114
625,7000
626,6031
627,6577
628,4051
629,6479
630,4429
631,6944
632,6439
633,6073
634,4345
635,6256
636,6516
637,4679
638,6485
639,6067
640,4349
641,4488
642,6907
643,4185
644,4003
645,6595
646,6125
647,4184
648,4891
649,6487
650,6929
651,4105
652,5287
653,6518
654,6543
655,5277
656,6785
657,6661
658,5259
659,5202
660,6632
661,4324
662,6251
663,7073
664,6415
665,6419
666,1280
667,4514
668,5237
669,4188
670,1074
671,6724
672,7088
673,6534
674,7021
675,6164
676,2119
677,4516
678,6934
679,4867
680,6548
681,4556
682,7016
683,6804
684,6601
685,6500
686,6761
687,6971
688,4616
689,4389
690,4115
691,4005
692,6696
693,6524
694,6885
695,6076
696,5290
697,4538
698,6327
699,2395
700,31
701,6697
702,5288
703,4594
704,6428
705,4153
706,7072
707,6833
708,6559
709,6768
710,6897
711,6097
712,4197
713,6343
714,6673
715,6878
716,6016
717,4176
718,6057
719,6183
720,7007
721,2138
722,6346
723,6892
724,4076
725,4214
726,2301
727,5176
728,4507
729,6988
730,6600
731,4404
732,6760
733,4902
734,6994
735,6038
736,6797
737,6790
738,5018
739,5256
740,6947
741,6668
742,6786
743,6066
744,5203
745,4453
746,4094
747,5278
748,6950
749,6113
750,6432
751,4809
752,6549
753,6863
754,4485
755,6298
756,69
757,6839
758,6118
759,6707
760,1222
761,4499
762,4067
763,6221
764,5236
765,6535
766,4767
767,382
768,6751
769,6236
770,6730
771,4855
772,2357
773,7023
774,6222
775,4277
776,677
777,6117
778,7015
779,4827
780,6443
781,7068
782,6515
783,4869
784,4447
785,6800
786,4024
787,4218
788,7004
789,337
790,4431
791,5250
792,72
793,7029
794,2191
795,6669
796,5280
797,6202
798,4272
799,4340
800,6120
801,6206
802,4547
803,6374
804,4441
805,6884
806,6920
807,6765
808,4313
809,6377
810,7062
811,4021
812,4194
813,2201
814,4549
815,6987
816,2133
817,6455
818,5126
819,6578
820,7033
821,6401
822,6370
823,6521
824,4813
825,7078
826,4393
827,6014
828,4643
829,6690
830,6381
831,4849
832,6660
833,4893
834,6300
835,6373
836,6956
837,120
838,6677
839,6505
840,2219
841,127
842,2351
843,210
844,6474
845,6796
846,6911
847,303
848,5228
849,4483
850,6033
851,6846
852,6832
