,rid
0,295
1,295
2,413
3,413
4,413
5,413
6,685
7,685
8,729
9,729
10,729
11,1155
12,1155
13,1155
14,1155
15,1155
16,1261
17,1261
18,1261
19,1261
20,1261
21,1268
22,1280
23,1280
24,1280
25,1280
26,2010
27,2010
28,2010
29,2010
30,2010
31,2043
32,2043
33,2043
34,2073
35,2073
36,2073
37,2073
38,2073
39,2073
40,4171
41,4171
42,4171
43,4213
44,4213
45,4213
46,4213
47,4213
48,4213
49,4219
50,4219
51,4219
52,4219
53,4225
54,4225
55,4225
56,4225
57,4225
58,4225
59,4229
60,4229
61,4229
62,4229
63,4229
64,4229
65,4229
66,4237
67,4237
68,4237
69,4237
70,4251
71,4251
72,4262
73,4262
74,4262
75,4262
76,4264
77,4270
78,4270
79,4270
80,4270
81,4270
82,4447
83,4447
84,4447
85,4447
86,4473
87,4473
88,4473
89,4473
90,4473
91,4473
92,4521
93,4521
94,4521
95,4521
96,4654
97,4654
98,4654
99,4654
100,4654
101,4654
102,4746
103,4746
104,4746
105,4746
106,4799
107,4799
108,4799
109,4799
110,4799
111,4799
112,5018
113,5018
114,5178
115,5178
116,5178
117,5230
118,5230
119,5230
120,5230
121,6007
122,6007
123,6009
124,6030
125,6053
126,6066
127,6103
128,6404
129,6456
130,908
131,908
132,908
133,1074
134,1122
135,1122
136,2374
137,4119
138,4119
139,4288
140,4288
141,4350
142,4354
143,4354
144,4354
145,4354
146,4441
147,4644
148,4644
149,4644
150,4872
151,4900
152,4900
153,5130
154,5130
155,5154
156,6014
157,6014
158,6014
159,6067
160,6067
161,6067
162,6256
163,6256
164,6257
165,6258
166,6258
167,6258
168,6259
169,6259
170,6260
171,6260
172,6260
173,6264
174,6268
175,6268
176,6268
177,6307
178,6307
179,6432
180,6432
181,6479
182,6606
183,6606
184,6644
185,6833
186,6915
187,6924
188,6954
189,6959
190,6996
191,7010
192,602
193,610
194,4185
195,4185
196,6084
197,6393
198,6427
199,731
200,4150
201,4150
202,4150
203,4150
204,4153
205,4153
206,4153
207,4153
208,4153
209,4192
210,4192
211,4192
212,4192
213,4346
214,4346
215,4346
216,4346
217,4357
218,4357
219,4357
220,4357
221,4357
222,4363
223,4363
224,4363
225,4363
226,4363
227,4449
228,4449
229,4449
230,4449
231,4485
232,4485
233,4485
234,4485
235,4515
236,4515
237,4515
238,4515
239,4546
240,4546
241,4546
242,4679
243,4679
244,4679
245,4679
246,4713
247,4713
248,4713
249,4713
250,4867
251,4867
252,4867
253,4867
254,4960
255,4960
256,4960
257,5153
258,5153
259,2394
260,4488
261,4516
262,4611
263,4611
264,4620
265,4637
266,5265
267,751
268,751
269,751
270,751
271,751
272,4324
273,4324
274,4612
275,4612
276,5176
277,6163
278,6212
279,6402
280,419
281,4345
282,4345
283,4345
284,4345
285,4442
286,4442
287,4442
288,6748
289,21
290,4105
291,4278
292,4278
293,4547
294,4827
295,4893
296,6303
297,6303
298,6367
299,6367
300,6418
301,6465
302,6465
303,6618
304,6714
305,7048
306,4012
307,4012
308,4012
309,4012
310,4026
311,4026
312,4026
313,4026
314,4094
315,4094
316,4094
317,4094
318,4094
319,4094
320,4094
321,4094
322,4128
323,4128
324,4128
325,4128
326,4128
327,4188
328,4188
329,4188
330,4188
331,4188
332,4545
333,4545
334,4643
335,4643
336,4643
337,4643
338,4643
339,4643
340,4643
341,4849
342,4849
343,4849
344,4987
345,4987
346,4987
347,5121
348,5121
349,5157
350,5157
351,5157
352,5195
353,5195
354,5213
355,6073
356,6073
357,6073
358,6073
359,6503
360,6760
361,6760
362,1186
363,1186
364,2324
365,2324
366,2324
367,2324
368,2389
369,2389
370,2389
371,2389
372,2389
373,4268
374,4268
375,4268
376,4268
377,4268
378,4395
379,4395
380,4395
381,4395
382,4579
383,4579
384,4579
385,4580
386,4580
387,4580
388,4580
389,4580
390,4595
391,4595
392,4595
393,4595
394,4616
395,4616
396,4616
397,4791
398,4791
399,4791
400,4917
401,4917
402,4917
403,4917
404,4985
405,4985
406,5071
407,5071
408,5071
409,5137
410,5137
411,5171
412,6206
413,6206
414,6768
415,6780
416,2308
417,2308
418,2308
419,2308
420,2308
421,4401
422,4401
423,4401
424,4576
425,4576
426,4576
427,6076
428,6076
429,6076
430,6076
431,6145
432,6145
433,6145
434,6148
435,6199
436,6199
437,6424
438,6424
439,6437
440,6437
441,6502
442,6522
443,6522
444,6522
445,6765
446,6765
447,6765
448,6831
449,6920
450,6935
451,6944
452,6988
453,7072
454,7080
455,4121
456,4902
457,4902
458,4951
459,4951
460,6381
461,6381
462,6790
463,6790
464,6800
465,6816
466,6816
467,6839
468,6892
469,6934
470,6939
471,6941
472,6941
473,6943
474,6971
475,7039
476,2133
477,2133
478,2133
479,2133
480,2133
481,2138
482,2138
483,2138
484,2155
485,2155
486,2155
487,2155
488,2155
489,2155
490,2180
491,2180
492,2180
493,2180
494,2180
495,2180
496,4257
497,4257
498,4257
499,4313
500,4313
501,4313
502,4349
503,4349
504,4349
505,4349
506,4349
507,4399
508,4399
509,4399
510,4399
511,4400
512,4400
513,4400
514,4400
515,4597
516,4597
517,4597
518,4696
519,4696
520,4696
521,4733
522,4733
523,4733
524,4809
525,4809
526,4809
527,4809
528,4868
529,4868
530,4868
531,4889
532,4889
533,4889
534,4889
535,5240
536,5250
537,5262
538,4252
539,4252
540,4252
541,4252
542,4252
543,4285
544,4285
545,4285
546,4285
547,4293
548,4293
549,4293
550,4293
551,4293
552,4367
553,4367
554,4367
555,4367
556,4477
557,4477
558,4477
559,4477
560,4477
561,4548
562,4548
563,4548
564,4548
565,4549
566,4549
567,4549
568,4549
569,4680
570,4680
571,4680
572,4835
573,4835
574,4835
575,4835
576,5012
577,5012
578,5012
579,5012
580,5019
581,5019
582,5019
583,5242
584,5140
